UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10018344,BESTLAND SOLUTIONS LIMITED,Private Sector Public Funded,10,100,0,0,0,0,140,84,0,0,16,0,150,59,0,20,0,20
10000670,BEXHILL COLLEGE,Other,110,16,0,0,84,0,170,27,0,0,0,73,140,26,0,0,74,0
10000671,BEXLEY COLLEGE,General FE College incl Tertiary,1490,13,12,1,3,70,1050,7,41,2,17,33,790,15,4,27,53,1
10000146,BEXLEY LONDON BOROUGH COUNCIL,Other Public Funded,1360,15,3,46,10,25,1280,8,20,18,50,4,1050,11,5,51,23,9
10000673,BEXLEY YOUTH TRAINING GROUP,Private Sector Public Funded,200,49,12,0,9,30,260,67,12,8,7,5,400,33,0,51,17,0
10019980,BHS LIMITED,Private Sector Public Funded,410,0,0,0,0,100,340,0,0,4,65,31,170,76,8,0,9,7
10000683,BICTON COLLEGE,Special Colleges,410,15,46,12,6,21,430,6,31,7,56,0,.,.,.,.,.,.
10046350,BIG CREATIVE ACADEMY,Other,.,.,.,.,.,.,x,x,x,x,x,x,10,100,0,0,0,0
10002073,BIG CREATIVE TRAINING LTD,Private Sector Public Funded,x,x,x,x,x,x,10,100,0,0,0,0,x,x,x,x,x,x
10000695,BILBOROUGH COLLEGE,Other,.,.,.,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x
10000702,BIRKENHEAD SIXTH FORM COLLEGE,Other,130,0,45,0,55,0,160,12,0,0,16,72,120,0,0,23,37,40
10000703,BIRMINGHAM CITY COUNCIL,Other Public Funded,8080,14,19,52,4,9,6270,3,33,52,1,11,4540,38,5,32,17,9
10000715,BIRMINGHAM ELECTRICAL TRAINING LTD,Private Sector Public Funded,30,0,0,100,0,0,30,0,0,0,0,100,40,0,100,0,0,0
10006442,BIRMINGHAM METROPOLITAN COLLEGE,General FE College incl Tertiary,14690,22,51,12,7,8,11360,23,34,12,26,5,8090,19,36,1,24,21
10000720,BISHOP AUCKLAND COLLEGE,General FE College incl Tertiary,4060,11,14,33,35,8,3120,10,38,3,28,20,2290,23,50,18,2,7
10000721,BISHOP BURTON COLLEGE,Special Colleges,570,44,37,3,16,0,360,32,0,0,51,17,340,42,0,43,8,7
10000747,BLACKBURN COLLEGE,General FE College incl Tertiary,4160,8,17,2,67,6,3080,14,24,6,40,16,2490,29,27,26,10,7
10000748,BLACKBURN WITH DARWEN UNITARY AUTHORITY,Other Public Funded,310,25,10,9,30,26,260,56,12,0,32,0,230,83,0,17,0,0
10000754,BLACKPOOL AND THE FYLDE COLLEGE,General FE College incl Tertiary,4760,25,41,18,8,8,3890,11,28,28,24,9,3110,14,15,36,23,12
10000755,BLACKPOOL UNITARY AUTHORITY,Other Public Funded,300,78,0,7,15,0,90,70,0,30,0,0,80,54,46,0,0,0
10013208,BLUE TRAINING (U.K.) LIMITED,Private Sector Public Funded,580,2,36,0,41,20,520,3,23,0,35,39,10,100,0,0,0,0
10000952,BMC (BROOKSBY MELTON COLLEGE),Special Colleges,340,6,26,14,12,42,520,15,19,5,33,28,400,0,0,29,3,68
10025267,BOCK CONSULTANCY & PERSONNEL DEVELOPMENT LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,70,100,0,0,0,0
10000794,BOLTON COLLEGE,General FE College incl Tertiary,3760,20,22,21,9,28,3570,9,16,29,20,26,2480,7,8,53,10,22
10000795,BOLTON METROPOLITAN BOROUGH COUNCIL,Other Public Funded,840,5,63,0,32,0,320,0,52,10,16,22,310,11,56,0,4,29
10000796,BOLTON SIXTH FORM COLLEGE,Other,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10028930,BOOTS OPTICIANS PROFESSIONAL SERVICES LIMITED,Private Sector Public Funded,80,0,0,0,0,100,40,0,0,0,100,0,100,0,0,0,0,100
10005143,BOROUGH OF POOLE,Other Public Funded,3210,53,7,2,14,24,2310,38,24,4,15,18,1560,6,35,0,44,15
10006547,BOROUGH OF TELFORD AND WREKIN,Other Public Funded,820,27,38,0,14,21,800,84,0,0,0,16,470,66,0,0,0,34
10042884,BOSCH AUTOMOTIVE SERVICE SOLUTIONS LTD,Private Sector Public Funded,20,0,0,0,0,100,90,0,0,33,0,67,110,0,0,85,0,15
10000807,BOSCO CENTRE,Private Sector Public Funded,x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.
10000812,BOSTON COLLEGE,General FE College incl Tertiary,4000,7,19,13,48,13,3350,3,14,29,39,16,2330,16,2,16,50,16
10000820,"BOURNEMOUTH AND POOLE COLLEGE, THE",General FE College incl Tertiary,2960,16,16,18,30,19,2680,6,35,9,16,34,2240,11,25,8,13,42
10000825,BOURNVILLE COLLEGE,General FE College incl Tertiary,6280,16,22,6,18,37,4890,12,19,2,58,9,3500,38,4,15,21,23
10009975,BOWLING COLLEGE,Private Sector Public Funded,590,97,0,0,3,0,430,55,45,0,0,0,90,62,11,0,16,11
10000831,BPP HOLDINGS LIMITED,Private Sector Public Funded,330,0,0,0,0,100,420,0,0,0,0,100,580,0,0,0,0,100
10000833,BRACKNELL AND WOKINGHAM COLLEGE,General FE College incl Tertiary,1410,9,1,1,30,59,1120,12,2,11,18,57,920,3,7,31,8,52
10000834,BRACKNELL FOREST BOROUGH COUNCIL,Other Public Funded,200,16,27,0,6,51,120,14,27,0,11,48,90,14,0,0,0,86
10000850,BRADFORD CITY COUNCIL,Other Public Funded,370,27,48,12,0,12,340,61,39,0,0,0,300,68,0,21,8,3
10000840,BRADFORD COLLEGE,General FE College incl Tertiary,10100,46,9,12,16,18,7640,33,15,40,6,6,6330,26,49,10,8,7
10000863,BRENT LONDON BOROUGH COUNCIL,Other Public Funded,2060,32,50,11,4,4,1710,45,23,19,1,12,1450,22,37,28,13,0
