UKPRN,Provider Name,Learner Category,Completions 13/14 BL,Sustained Positive Destination Rate 13/14 BL,Quintile 13/14 BL,Completions 13/14 All,Sustained Positive Destination Rate 13/14 All,Quintile 13/14 All,Completions 14/15 BL,Sustained Positive Destination Rate 14/15 BL,Quintile 14/15 BL,Completions 14/15 All,Sustained Positive Destination Rate 14/15 All,Quintile 14/15 All,Completions 15/16 BL,Sustained Positive Destination Rate 15/16 BL,Quintile 15/16 BL,Completions 15/16 All,Sustained Positive Destination Rate 15/16 All,Quintile 15/16 All
10009059,ACCESS TRAINING LIMITED,"Full Level 2: Health, Public Services and Care",x,x,x,x,x,x,x,x,x,x,x,x,.,.,.,30,84,bottom quintile
10009059,ACCESS TRAINING LIMITED,Other provision below Full Level 2,180,49,second quintile,x,x,x,90,49,second quintile,x,x,x,50,54,third quintile,10,92,top quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,LLDD learner,400,46,third quintile,790,54,bottom quintile,280,43,second quintile,630,51,bottom quintile,280,41,second quintile,600,55,bottom quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,10,100,top quintile,.,.,.,30,100,top quintile,.,.,.,30,100,top quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Advanced and Higher Apprenticeships: Construction, Planning and the Built Environment",.,.,.,10,79,bottom quintile,.,.,.,10,100,top quintile,.,.,.,10,85,bottom quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,.,.,.,10,100,top quintile,.,.,.,10,75,bottom quintile,x,x,x,10,92,third quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",.,.,.,20,95,top quintile,.,.,.,x,x,x,.,.,.,10,82,second quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,20,96,top quintile,.,.,.,20,90,second quintile,.,.,.,20,87,second quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Full Level 3+: Arts, Media and Publishing",.,.,.,x,x,x,.,.,.,10,70,bottom quintile,.,.,.,x,x,x
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Full Level 3+: Business, Administration and Law",x,x,x,30,96,top quintile,x,x,x,20,74,bottom quintile,x,x,x,20,89,fourth quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Full Level 3+: Education and Training,.,.,.,10,92,third quintile,.,.,.,10,100,top quintile,.,.,.,10,83,second quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Full Level 3+: Engineering and Manufacturing Technologies,x,x,x,20,81,second quintile,.,.,.,x,x,x,x,x,x,x,x,x
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Full Level 3+: Health, Public Services and Care",x,x,x,10,90,fourth quintile,x,x,x,20,76,bottom quintile,x,x,x,40,74,bottom quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Full Level 3+: Leisure, Travel and Tourism",x,x,x,40,91,fourth quintile,10,73,fourth quintile,230,85,third quintile,10,60,second quintile,150,84,fourth quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Full Level 3+: Retail and Commercial Enterprise,x,x,x,40,78,fourth quintile,x,x,x,20,62,bottom quintile,x,x,x,10,75,fourth quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Access to HE,x,x,x,40,93,fourth quintile,x,x,x,40,89,second quintile,x,x,x,30,93,fourth quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Other Level 3,20,59,bottom quintile,300,90,third quintile,x,x,x,30,87,fourth quintile,x,x,x,x,x,x
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,x,x,x,.,.,.,x,x,x,.,.,.,10,93,fourth quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,"Intermediate Apprenticeships: Construction, Planning and the Built Environment",.,.,.,40,83,bottom quintile,x,x,x,10,90,second quintile,.,.,.,50,81,second quintile
10000093,ACCRINGTON AND ROSSENDALE COLLEGE,Intermediate Apprenticeships: Engineering and Manufacturing Technologies,x,x,x,30,94,third quintile,x,x,x,10,92,second quintile,.,.,.,30,100,top quintile
